iso3,F2_Ally,F2_Rival,F2_Dist,F2_Bases,F1_FX_Watch,F2_UNVote,F2_Polity
CAN,1,0,732.6181154028632,1,0,,
MEX,0,0,3031.819616895614,0,0,,
BRA,0,0,6792.630214416307,0,0,,
ARG,0,0,8397.242535749352,0,0,,
COL,0,0,3814.322645802222,0,0,,
CHL,0,0,8072.508520041019,0,0,,
PER,0,0,5666.182279178299,0,0,,
ECU,0,0,4354.488676120309,0,0,,
BOL,0,0,6230.063097600987,0,0,,
PRY,0,0,7417.0587561360435,0,0,,
VEN,0,1,3317.892039496155,0,0,,
GTM,0,0,3003.4984806336647,0,0,,
HND,0,0,2933.427863504632,1,0,,
SLV,0,0,3047.578776643558,0,0,,
CRI,0,0,3297.379023423495,0,0,,
PAN,0,0,3335.848110270751,0,0,,
DOM,0,0,2372.514244353863,0,0,,
TTO,0,0,3498.7754038562493,0,0,,
JAM,0,0,2326.0091433315893,0,0,,
GUY,0,0,4041.4875524952813,1,0,,
NIC,0,0,3114.2821648069653,0,0,,
DEU,1,0,6709.905808453019,119,1,,
FRA,1,0,6164.933208940572,0,0,,
ITA,1,0,7215.6811033012045,14,0,,
ESP,1,0,6088.275030416884,4,0,,
NLD,1,0,6189.5399963369355,0,0,,
BEL,1,0,6215.821595177081,1,0,,
POL,1,0,7177.459054688763,1,0,,
SWE,1,0,6635.777792361818,0,0,,
AUT,0,0,7122.928928501498,0,0,,
CHE,0,0,6597.9172521937,0,0,,
NOR,1,0,6232.327822041595,1,0,,
DNK,1,0,6510.670208019242,0,0,,
FIN,1,0,6929.285431250855,0,0,,
IRL,0,0,5443.199032844781,0,0,,
PRT,0,0,5736.337994626489,0,0,,
GRC,1,0,8253.086488712428,2,0,,
CZE,1,0,6900.705382955551,0,0,,
HUN,1,0,7334.870309877675,0,0,,
ROU,1,0,7976.1879267077975,0,0,,
SVK,1,0,7173.597792281434,0,0,,
BGR,1,0,7912.038926572971,0,0,,
HRV,1,0,7233.473777363361,0,0,,
SRB,0,0,7589.371565237228,0,0,,
MDA,0,0,7972.141100424352,0,0,,
UKR,0,0,7832.459149039547,0,0,,
GBR,1,0,5897.382911066799,20,0,,
TUR,1,0,8724.42530403141,1,0,,
ISR,1,0,9497.335170193113,0,0,,
SAU,0,0,10841.508297560014,2,0,,
ARE,0,0,11344.391073812696,2,0,,
KWT,0,0,10524.81420577521,2,0,,
QAT,0,0,11098.003954256346,2,0,,
OMN,0,0,11670.90968549992,0,0,,
BHR,0,0,10959.367201158142,3,0,,
JOR,0,0,9531.085585890776,0,0,,
IRQ,0,0,9968.539562650687,0,0,,
EGY,0,0,9348.42588715661,0,0,,
DZA,0,0,6796.48220633683,0,0,,
MAR,0,0,6143.958431073115,0,0,,
TUN,0,0,7338.74249520792,0,0,,
LBY,0,0,7808.344368855055,0,0,,
CHN,0,1,11145.228812596526,0,1,,
JPN,1,0,10903.35835984772,120,1,,
KOR,1,0,11163.424523089516,28,1,,
TWN,0,0,12645.917691414828,0,1,,
HKG,0,0,13112.1427613516,0,0,,
SGP,0,0,15537.832724752474,1,1,,
VNM,0,0,13343.590792148547,0,1,,
THA,0,0,14154.36939798146,0,0,,
MYS,0,0,15337.827238698384,0,1,,
IDN,0,0,16358.391367455353,0,0,,
PHL,0,0,13777.448649649352,1,0,,
IND,0,0,12046.16581027904,0,0,,
BGD,0,0,12929.671245334905,0,0,,
PAK,0,0,11371.259329335415,0,0,,
LKA,0,0,14388.322099552286,0,0,,
MMR,0,0,13449.885332950436,0,0,,
KHM,0,0,14398.606974642462,0,0,,
LAO,0,0,13690.517644433528,0,0,,
KAZ,0,0,9539.081218025247,0,0,,
AUS,1,0,15944.063065195678,4,0,,
NZL,1,0,14082.606421955154,0,0,,
ZAF,0,0,13030.329922077919,0,0,,
NGA,0,0,8906.55074926476,0,0,,
AGO,0,0,10647.206695024017,0,0,,
CMR,0,0,9612.655641929932,0,0,,
CIV,0,0,7956.092525959487,0,0,,
COD,0,0,10512.784543825066,0,0,,
ETH,0,0,11522.990092528058,0,0,,
TZA,0,0,12401.78465681445,0,0,,
MOZ,0,0,13415.616132379904,0,0,,
NAM,0,0,11899.02329834607,0,0,,
BWA,0,0,12771.875970300182,0,0,,
ZWE,0,0,12785.129079905922,0,0,,
MWI,0,0,12769.81151813133,0,0,,
MUS,0,0,15209.885211256325,0,0,,
MDG,0,0,14278.880350964739,0,0,,
LSO,0,0,13179.405137321335,0,0,,
RWA,0,0,11616.72439964055,0,0,,
ZMB,0,0,12388.361919934514,0,0,,
KEN,0,0,12141.245363974354,0,0,,
GHA,0,0,8481.639723165648,0,0,,
SEN,0,0,6367.1123150997955,0,0,,
