iso3,F4_301,F4_Retaliate,F4_Stance,F4_Purchase,F4_Invest
CAN,1,1,2,0,0
MEX,1,1,2,0,0
BRA,1,0,2,0,0
ARG,1,0,2,0,0
COL,0,0,2,0,0
CHL,1,0,2,0,0
PER,1,0,2,0,0
ECU,0,0,2,0,0
BOL,1,0,2,0,0
PRY,0,0,2,0,0
VEN,1,0,2,0,0
GTM,0,0,2,0,0
HND,0,0,2,0,0
SLV,0,0,2,0,0
CRI,0,0,2,0,0
PAN,0,0,2,0,0
DOM,0,0,2,0,0
TTO,0,0,2,0,0
JAM,0,0,2,0,0
GUY,0,0,2,0,0
NIC,0,0,2,0,0
DEU,0,1,2,0,0
FRA,0,1,2,0,0
ITA,0,1,2,0,0
ESP,0,1,2,0,0
NLD,0,1,2,0,0
BEL,0,1,2,0,0
POL,0,1,2,0,0
SWE,0,1,2,0,0
AUT,0,1,2,0,0
CHE,0,0,2,0,0
NOR,0,0,2,0,0
DNK,0,1,2,0,0
FIN,0,1,2,0,0
IRL,0,1,2,0,0
PRT,0,1,2,0,0
GRC,0,1,2,0,0
CZE,0,1,2,0,0
HUN,0,1,2,0,0
ROU,0,1,2,0,0
SVK,0,1,2,0,0
BGR,0,0,2,0,0
HRV,0,0,2,0,0
SRB,0,0,2,0,0
MDA,0,0,2,0,0
UKR,1,0,2,0,0
GBR,0,0,3,0,0
TUR,1,0,2,0,0
ISR,0,0,3,0,0
SAU,1,0,3,0,600
ARE,1,0,3,0,200
KWT,0,0,3,0,0
QAT,0,0,3,0,0
OMN,0,0,2,0,0
BHR,0,0,2,0,0
JOR,0,0,2,0,0
IRQ,0,0,2,0,0
EGY,1,0,2,0,0
DZA,0,0,2,0,0
MAR,0,0,2,0,0
TUN,0,0,2,0,0
LBY,0,0,2,0,0
CHN,1,1,1,0,0
JPN,0,0,3,550,1000
KOR,0,0,3,0,50
TWN,0,0,3,0,100
HKG,0,0,2,0,0
SGP,0,0,3,0,0
VNM,1,0,3,0,0
THA,1,0,3,0,0
MYS,1,0,3,0,0
IDN,1,0,3,0,0
PHL,0,0,3,0,0
IND,1,0,2,0,0
BGD,0,0,3,0,0
PAK,1,0,2,0,0
LKA,0,0,2,0,0
MMR,0,0,2,0,0
KHM,0,0,2,0,0
LAO,0,0,2,0,0
KAZ,1,0,2,0,0
AUS,0,0,3,0,0
NZL,0,0,3,0,0
ZAF,0,0,2,0,0
NGA,1,0,2,0,0
AGO,0,0,2,0,0
CMR,0,0,2,0,0
CIV,0,0,2,0,0
COD,1,0,2,0,0
ETH,0,0,2,0,0
TZA,1,0,2,0,0
MOZ,0,0,2,0,0
NAM,0,0,2,0,0
BWA,0,0,2,0,0
ZWE,0,0,2,0,0
MWI,0,0,2,0,0
MUS,0,0,2,0,0
MDG,0,0,2,0,0
LSO,0,0,2,0,0
RWA,0,0,2,0,0
ZMB,0,0,2,0,0
KEN,0,0,2,0,0
GHA,0,0,2,0,0
SEN,0,0,2,0,0
