ISO3,WB_Pop_M,F1_ManufShare,WB_GDP_B,WB_TradeGDP
AFG,42.6475,,,
ALB,2.3771,54.0606,27.0464,79.4546
DZA,46.8143,,269.3223,40.1346
AGO,37.8858,1.0575,100.9989,50.8422
ARG,45.6962,13.3386,638.3655,27.9298
ARM,3.0335,29.5478,25.9553,150.0647
AUS,27.1968,9.5506,1757.0225,47.1454
AUT,9.178,78.997,534.7907,108.8258
AZE,10.2028,4.7962,74.3159,82.6899
BGD,173.5624,,450.1194,26.7781
BLR,9.1326,,75.9619,131.9179
BEL,11.8586,69.5045,671.3701,158.9318
BOL,12.4133,6.5215,54.8813,46.9779
BRA,211.9986,23.2192,2185.8216,35.5845
BGR,6.4414,53.4064,113.3434,110.2263
KHM,17.6388,78.0878,46.3526,143.447
CAN,41.2886,42.2748,2243.6368,65.1499
CHL,19.7648,13.0642,330.2671,63.8599
CHN,1408.975,91.1612,18743.8032,37.1984
COL,52.8864,21.3773,418.8182,37.0255
COD,109.2763,,70.9622,100.5541
CRI,5.1299,64.8603,95.3504,71.331
HRV,3.8662,63.1018,92.9838,104.9123
CZE,10.905,90.2385,347.0341,131.485
DNK,5.977,72.6931,424.5247,131.765
DOM,11.4276,58.1536,124.2822,51.7835
ECU,18.1355,4.8903,124.6761,57.2031
EGY,116.5383,51.9148,389.0599,39.6008
SLV,6.3382,70.006,35.365,84.6596
ETH,132.0598,,149.7403,17.4004
FIN,5.6199,66.7498,298.697,83.4601
FRA,68.5517,78.0103,3160.4426,68.1082
GEO,3.6996,33.9681,34.1894,103.4565
DEU,83.5166,84.1313,4685.5926,79.0907
GHA,34.4274,,82.3081,69.7884
GRC,10.4051,37.1239,256.2384,89.7765
GTM,18.4064,45.8963,113.1996,47.3442
HND,10.8257,39.0613,37.0936,91.1102
HKG,7.5241,87.4052,406.8634,359.5067
HUN,9.5621,85.3953,222.7227,146.5046
IND,1450.9358,67.1015,3909.8915,44.6493
IDN,283.4879,44.8585,1396.3001,42.5726
IRN,91.5677,,475.2521,52.0621
IRL,5.3958,90.7469,609.1575,246.1699
ISR,9.9744,86.5973,540.3799,54.452
ITA,58.9527,79.4926,2380.8251,62.8238
JPN,123.9754,82.502,4027.5975,46.407
JOR,11.5529,,53.3523,99.6794
KAZ,20.5926,20.8915,291.4803,57.1613
KEN,56.4329,30.7255,120.3396,40.186
KOR,51.7511,87.2878,1875.3882,84.6425
KWT,4.8973,8.1217,160.2273,
LAO,7.7698,,16.5029,
LBN,5.806,55.6161,,
LTU,2.8883,60.6077,84.8692,143.0484
LUX,0.677,80.438,93.2799,351.2679
MYS,35.5577,69.7826,422.227,137.3626
MLT,0.5688,76.3985,24.9716,218.1706
MEX,130.861,79.1096,1856.3656,74.5889
MDA,2.4023,38.7096,18.2003,88.6661
MNG,3.5248,,23.7945,138.4484
MAR,38.0812,,160.611,92.1872
MOZ,34.6318,4.6096,22.7453,95.6594
MMR,54.5001,35.6535,74.0683,
NPL,29.6511,,42.9143,40.5298
NLD,17.9935,62.7875,1214.9277,153.8307
NZL,5.2875,15.8196,260.1724,51.2244
NGA,232.6795,3.5272,252.2619,
NOR,5.5723,15.0738,483.5926,81.3635
OMN,5.2815,,107.1372,114.8527
PAK,251.2692,67.9426,371.57,27.5785
PAN,4.5156,10.9309,86.524,83.6738
PRY,6.9292,16.195,44.4581,76.8312
PER,34.2178,7.4128,289.222,51.4759
PHL,115.8437,77.21,461.6175,65.8855
POL,36.5592,78.0601,917.7671,100.3594
PRT,10.6947,73.535,313.2712,89.6964
QAT,2.8578,11.5534,219.1626,
ROU,19.0518,79.3387,382.5642,77.215
RUS,143.5339,,2173.8358,39.5082
SAU,35.3003,15.9012,1239.8045,54.6787
SEN,18.502,22.2699,32.8081,68.1405
SRB,6.5865,,90.0978,111.725
SGP,6.0369,74.5333,547.3866,322.3714
SVK,5.4221,88.6095,140.9341,171.2128
SVN,2.1274,87.3762,72.972,155.6579
ZAF,64.0072,39.1486,401.145,61.6468
ESP,48.8488,65.1731,1725.6717,69.9503
LKA,21.916,66.0268,98.9632,42.3975
SWE,10.5697,72.6043,603.7152,105.8831
CHE,9.0056,68.4504,936.5642,134.0951
TWN,,,,
TZA,68.5602,10.7844,78.8444,41.5131
THA,71.668,72.1339,526.5177,136.7471
TUN,12.2771,,51.3323,106.2985
TUR,85.5187,73.6372,1359.1238,54.5988
UGA,50.0151,14.2804,53.9119,42.6528
UKR,37.8602,30.4767,190.7413,77.753
ARE,10.9864,,552.3248,
GBR,69.226,61.2942,3686.033,62.8402
URY,3.3866,18.8855,80.9615,52.4649
UZB,36.3619,28.9552,114.9653,60.7274
VEN,28.4055,,119.803,26.0812
VNM,100.9877,,476.3882,173.862
ZMB,21.315,14.1094,25.3032,62.5349
ZWE,16.6344,6.6894,41.5394,41.4865
