country,initial_rate,iso3,final_rate_candidate,source_url,final_rate,Y_ExtraTariff,source_note
Angola,32.0,AGO,,,32.0,22.0,Annex I baseline only
Bangladesh,37.0,BGD,,,37.0,27.0,Annex I baseline only
Bosnia and Herzegovina,35.0,BIH,,,35.0,25.0,Annex I baseline only
Brunei Darussalam,24.0,BRN,,,24.0,14.0,Annex I baseline only
Botswana,37.0,BWA,,,37.0,27.0,Annex I baseline only
Switzerland,31.0,CHE,,,31.0,21.0,Annex I baseline only
China,34.0,CHN,,,34.0,24.0,Annex I baseline only
Côte d'Ivoire,21.0,CIV,,,21.0,11.0,Annex I baseline only
Cameroon,11.0,CMR,,,11.0,1.0,Annex I baseline only
Algeria,30.0,DZA,,,30.0,20.0,Annex I baseline only
European Union,20.0,EUU,,,20.0,10.0,Annex I baseline only
Fiji,32.0,FJI,,,32.0,22.0,Annex I baseline only
Equatorial Guinea,13.0,GNQ,,,13.0,3.0,Annex I baseline only
Guyana,38.0,GUY,,,38.0,28.0,Annex I baseline only
Indonesia,32.0,IDN,,,32.0,22.0,Annex I baseline only
India,26.0,IND,,,26.0,16.0,Annex I baseline only
Iraq,39.0,IRQ,,,39.0,29.0,Annex I baseline only
Israel,17.0,ISR,,,17.0,7.0,Annex I baseline only
Jordan,20.0,JOR,,,20.0,10.0,Annex I baseline only
Japan,24.0,JPN,,,24.0,14.0,Annex I baseline only
Kazakhstan,27.0,KAZ,,,27.0,17.0,Annex I baseline only
Cambodia,49.0,KHM,,,49.0,39.0,Annex I baseline only
"Korea, Republic of",25.0,KOR,,,25.0,15.0,Annex I baseline only
Lao People's Democratic Republic,48.0,LAO,,,48.0,38.0,Annex I baseline only
Libya,31.0,LBY,,,31.0,21.0,Annex I baseline only
Liechtenstein,37.0,LIE,,,37.0,27.0,Annex I baseline only
Sri Lanka,44.0,LKA,,,44.0,34.0,Annex I baseline only
Lesotho,50.0,LSO,,,50.0,40.0,Annex I baseline only
"Moldova, Republic of",31.0,MDA,,,31.0,21.0,Annex I baseline only
Madagascar,47.0,MDG,,,47.0,37.0,Annex I baseline only
North Macedonia,33.0,MKD,,,33.0,23.0,Annex I baseline only
Mozambique,16.0,MOZ,,,16.0,6.0,Annex I baseline only
Mauritius,40.0,MUS,,,40.0,30.0,Annex I baseline only
Malawi,17.0,MWI,,,17.0,7.0,Annex I baseline only
Malaysia,24.0,MYS,,,24.0,14.0,Annex I baseline only
Namibia,21.0,NAM,,,21.0,11.0,Annex I baseline only
Nigeria,14.0,NGA,,,14.0,4.0,Annex I baseline only
Nicaragua,18.0,NIC,,,18.0,8.0,Annex I baseline only
Norway,15.0,NOR,,,15.0,5.0,Annex I baseline only
Nauru,30.0,NRU,,,30.0,20.0,Annex I baseline only
Pakistan,29.0,PAK,,,29.0,19.0,Annex I baseline only
Philippines,17.0,PHL,,,17.0,7.0,Annex I baseline only
Serbia,37.0,SRB,,,37.0,27.0,Annex I baseline only
Syrian Arab Republic,41.0,SYR,,,41.0,31.0,Annex I baseline only
Chad,13.0,TCD,,,13.0,3.0,Annex I baseline only
Thailand,36.0,THA,,,36.0,26.0,Annex I baseline only
Tunisia,28.0,TUN,,,28.0,18.0,Annex I baseline only
"Taiwan, Province of China",32.0,TWN,,,32.0,22.0,Annex I baseline only
"Venezuela, Bolivarian Republic of",15.0,VEN,,,15.0,5.0,Annex I baseline only
Viet Nam,46.0,VNM,,,46.0,36.0,Annex I baseline only
Vanuatu,22.0,VUT,,,22.0,12.0,Annex I baseline only
South Africa,30.0,ZAF,,,30.0,20.0,Annex I baseline only
Zambia,17.0,ZMB,,,17.0,7.0,Annex I baseline only
Zimbabwe,18.0,ZWE,,,18.0,8.0,Annex I baseline only
Democratic Republic of the Congo,11.0,,19.0,https://ustr.gov/about/policy-offices/press-office/fact-sheets/2025/october/fact-sheet-united-states-and-cambodia-reach-agreement-reciprocal-trade,19.0,9.0,official_followup_page: https://ustr.gov/about/policy-offices/press-office/fact-sheets/2025/october/fact-sheet-united-states-and-cambodia-reach-agreement-reciprocal-trade
Falkland Islands,41.0,,19.0,https://ustr.gov/about/policy-offices/press-office/fact-sheets/2025/october/fact-sheet-united-states-and-cambodia-reach-agreement-reciprocal-trade,19.0,9.0,official_followup_page: https://ustr.gov/about/policy-offices/press-office/fact-sheets/2025/october/fact-sheet-united-states-and-cambodia-reach-agreement-reciprocal-trade
Myanmar (Burma),44.0,,19.0,https://ustr.gov/about/policy-offices/press-office/fact-sheets/2025/october/fact-sheet-united-states-and-cambodia-reach-agreement-reciprocal-trade,19.0,9.0,official_followup_page: https://ustr.gov/about/policy-offices/press-office/fact-sheets/2025/october/fact-sheet-united-states-and-cambodia-reach-agreement-reciprocal-trade
